Date,State,Confirmed,Death,Recovered,NewCases,NewDeaths,NewRecovered
6/1/20,Telengana,2698,82,1428,199,5,16
6/2/20,Telengana,2792,88,1491,94,6,63
6/3/20,Telengana,2891,92,1526,99,4,35
6/4/20,Telengana,3020,99,1556,129,7,30
6/5/20,Telengana,3147,105,1587,127,6,31
6/6/20,Telengana,3290,113,1627,143,8,40
6/7/20,Telengana,3496,123,1710,206,10,83
6/8/20,Telengana,3650,137,1710,154,14,0
6/9/20,Telengana,3650,137,1710,0,0,0
6/10/20,Telengana,3920,148,1809,270,11,99
6/11/20,Telengana,4111,156,1817,191,8,8
6/12/20,Telangana,4320,165,1993,0,0,0
6/13/20,Telangana,4484,174,2278,164,9,285
6/14/20,Telangana,4737,182,2352,253,8,74
6/15/20,Telangana,4974,185,2377,237,3,25
6/16/20,Telangana,5193,187,2766,219,2,389
6/17/20,Telangana,5406,191,3027,213,4,261
6/18/20,Telangana,5675,192,3071,269,1,44
6/19/20,Telangana,6027,195,3301,352,3,230
6/20/20,Telangana,6526,198,3353,499,3,52
6/21/20,Telangana,7072,203,3506,546,5,153
6/22/20,Telangana,7802,210,3731,730,7,225
6/23/20,Telangana,8674,217,4005,872,7,274
6/24/20,Telangana,9553,220,4224,879,3,219
6/25/20,Telangana,10444,225,4361,891,5,137
6/27/20,Telangana,12349,237,4766,1905,12,405
6/28/20,Telangana,13436,243,4928,1087,6,162
6/29/20,Telangana,14419,247,5172,983,4,244
6/30/20,Telangana,15394,253,5582,975,6,410
7/2/20,Telangana,17357,267,8082,1963,14,2500
7/3/20,Telangana,18570,275,9069,1213,8,987
7/5/20,Telangana,22312,288,11537,3742,13,2468
7/7/20,Telangana,25733,306,14781,3421,18,3244
7/8/20,Telangana,27612,313,16287,1879,7,1506
7/9/20,Telangana,29536,324,17279,1924,11,992
7/10/20,Telangana,30946,331,18192,1410,7,913
7/11/20,Telangana,32224,339,19205,1278,8,1013
7/12/20,Telangana,33402,348,20919,1178,9,1714
7/13/20,Telangana,34671,356,22482,1269,8,1563
7/14/20,Telangana,36221,365,23679,1550,9,1197
7/15/20,Telangana,37745,375,24840,1524,10,1161

