Date,Name of State / UT,CONFIRMED,Death,Recovered
1/30/2020,Kerala,1,0,0
1/31/2020,Kerala,1,0,0
2/1/2020,Kerala,2,0,0
2/2/2020,Kerala,3,0,0
2/3/2020,Kerala,3,0,0
2/4/2020,Kerala,3,0,0
2/5/2020,Kerala,3,0,0
2/6/2020,Kerala,3,0,0
2/7/2020,Kerala,3,0,0
2/8/2020,Kerala,3,0,0
2/9/2020,Kerala,3,0,0
2/10/2020,Kerala,3,0,0
2/11/2020,Kerala,3,0,0
2/12/2020,Kerala,3,0,0
2/13/2020,Kerala,3,0,0
2/14/2020,Kerala,3,0,0
2/15/2020,Kerala,3,0,0
2/16/2020,Kerala,3,0,0
2/17/2020,Kerala,3,0,0
2/18/2020,Kerala,3,0,0
2/19/2020,Kerala,3,0,0
2/20/2020,Kerala,3,0,0
2/21/2020,Kerala,3,0,0
2/22/2020,Kerala,3,0,0
2/23/2020,Kerala,3,0,0
2/24/2020,Kerala,3,0,0
2/25/2020,Kerala,3,0,0
2/26/2020,Kerala,3,0,0
2/27/2020,Kerala,3,0,0
2/28/2020,Kerala,3,0,0
2/29/2020,Kerala,3,0,0
3/1/2020,Kerala,3,0,0
3/2/2020,Kerala,3,0,0
3/3/2020,Kerala,3,0,3
3/4/2020,Kerala,3,0,3
3/5/2020,Kerala,3,0,3
3/6/2020,Kerala,3,0,3
3/7/2020,Kerala,3,0,3
3/8/2020,Kerala,8,0,3
3/9/2020,Kerala,9,0,3
3/10/2020,Kerala,15,0,3
3/11/2020,Kerala,17,0,3
3/12/2020,Kerala,17,0,3
3/13/2020,Kerala,17,0,3
3/14/2020,Kerala,19,0,3
3/15/2020,Kerala,23,0,3
3/16/2020,Kerala,23,0,3
3/17/2020,Kerala,26,0,3
3/18/2020,Kerala,27,0,3
3/19/2020,Kerala,27,0,3
3/20/2020,Kerala,28,0,3
3/21/2020,Kerala,40,0,3
3/22/2020,Kerala,52,0,3
3/23/2020,Kerala,67,0,3
3/24/2020,Kerala,95,0,4
3/25/2020,Kerala,109,0,4
3/26/2020,Kerala,118,0,6
3/27/2020,Kerala,137,0,11
3/28/2020,Kerala,176,0,11
3/29/2020,Kerala,182,1,15
3/30/2020,Kerala,194,1,19
3/31/2020,Kerala,234,1,19
4/1/2020,Kerala,241,2,23
4/2/2020,Kerala,265,2,25
4/3/2020,Kerala,286,2,27
4/4/2020,Kerala,295,2,41
4/5/2020,Kerala,306,2,49
4/6/2020,Kerala,314,2,55
4/7/2020,Kerala,327,2,58
4/8/2020,Kerala,336,2,70
4/9/2020,Kerala,345,2,83
4/10/2020,Kerala,357,2,96
4/11/2020,Kerala,364,2,123
4/12/2020,Kerala,364,2,123
4/13/2020,Kerala,376,2,179
4/14/2020,Kerala,379,3,198
4/15/2020,Kerala,387,3,211
4/16/2020,Kerala,388,3,218
4/17/2020,Kerala,395,3,245
4/18/2020,Kerala,396,3,255
4/19/2020,Kerala,400,3,257
4/20/2020,Kerala,402,3,270
4/21/2020,Kerala,408,3,291
4/22/2020,Kerala,427,3,307
4/23/2020,Kerala,438,3,323
4/24/2020,Kerala,447,3,324
4/25/2020,Kerala,450,3,331
4/26/2020,Kerala,457,4,338
4/27/2020,Kerala,458,4,338
4/28/2020,Kerala,481,4,355
4/29/2020,Kerala,485,4,359
4/30/2020,Kerala,495,4,369
5/1/2020,Kerala,497,4,383
5/2/2020,Kerala,497,4,392
5/3/2020,Kerala,499,4,400
5/4/2020,Kerala,500,4,401
5/5/2020,Kerala,500,4,462
