Date,State,Confirmedcases,Death,Recovered,New cases,New deaths,New recovered
6/1/2020,Kerala,1269,9,590,61,0,15
6/1/2020,Tamil Nadu,22333,173,12757,1149,13,757
6/1/2020,Telengana,2698,82,1428,199,5,16
6/7/2020,Kerala,1807,15,762,108,1,50
6/7/2020,Tamil Nadu,30152,251,16395,1458,19,633
6/7/2020,Telengana,3496,123,1710,206,10,83
6/14/2020,Kerala,2407,19,1046,85,0,46
6/14/2020,Tamil Nadu,42687,397,23409,1989,30,1362
6/14/2020,Telengana,4737,182,2352,253,8,74
6/21/2020,Kerala,3039,21,1568,127,0,57
6/21/2020,Tamil Nadu,56845,704,31316,2396,38,1045
6/21/2020,Telengana,7072,203,3506,546,5,153
6/28/2020,Kerala,4071,22,2110,195,0,102
6/28/2020,Tamil Nadu,78335,1025,44094,3713,68,2737
6/28/2020,Telengana,13436,243,4928,1087,6,162
6/30/2020,Kerala,4189,22,2152,0,0,0
6/30/2020,Tamil Nadu,86224,1141,47749,3949,62,2212
6/30/2020,Telengana,15394,253,5582,975,6,410
